scenario,raw_absolute_residual_age_slope,umlr_absolute_residual_age_slope,umlr_rmse_ratio_vs_raw,raw_association_absolute_error,umlr_association_absolute_error,umlr_target_CI_inclusion_rate
unbiased_predictions,0.0011487443794376,3.714424798591706e-06,0.6848103091119219,0.000727499772909,0.0007240570350631,0.9666666666666668
regression_to_mean,0.3633754150117879,0.0231594187537227,1.295554302677454,0.9839671586184832,0.62768204313474,0.9
range_shift,0.3246581759932722,0.0176631353988949,0.7310041227531838,0.7102860278364012,0.1899496320997427,1.0
heteroscedastic_errors,0.1686953374627577,0.0118895989175788,1.0881486432663467,0.3961915683407341,0.2425980316621989,0.9666666666666668
age_imbalance,0.4524164717193922,0.0198799003313652,1.3452311229673657,0.9885128998141968,0.3254878579339799,0.9333333333333332
null_outcome,0.162129513236132,0.0046704193962674,1.1014752572977553,0.2064639594784557,0.2444850299203237,0.9333333333333332
latent_signal,0.1670829945794538,0.0037505155073793,1.0975503880768969,0.6252686399472133,0.191594429836306,1.0
age_confounding,0.1681623315122936,0.002048595556778,1.099956294330974,0.7691682231987659,0.3251664637136072,1.0
small_calibration_sample,0.1650577265928237,0.0396622243983813,1.0828553553239335,0.3309483520626289,0.1894879673544389,0.9666666666666668
nonlinear_bias,0.1667258041438098,0.0230878519061053,1.079694742487368,0.2196826136999286,0.2287312874099126,1.0
