scenario,method,replications,mae_mean,mae_sd,rmse_mean,latent_rmse_mean,calibration_in_the_large_mean,calibration_slope_mean,residual_age_slope_mean,residual_age_correlation_mean,outcome_beta_age_adjusted_mean,association_target_mean,association_error_age_adjusted_mean,association_error_age_adjusted_abs_mean,detection_rate_age_adjusted,latent_target_interval_inclusion_rate,raw_rmse_mean,rmse_ratio_vs_raw
unbiased_predictions,raw_lasso,30,0.022172859575885943,0.0009375794306362091,0.027258561866105823,0.027258561866105823,-0.00047365327353838355,0.9988512556205623,-0.0011487443794376902,-0.7301737183097897,-4.00889268661041e-05,0.0,-4.00889268661041e-05,0.0007274997729090116,0.03333333333333333,0.9666666666666667,0.027258561866105823,1.0
unbiased_predictions,residual_correction,30,0.014874934015070245,0.00036349015798590355,0.01862039345640457,0.01862039345640457,-0.00013250980560569823,1.000006186714313,6.186714313050068e-06,0.00551377623549064,-4.008892686611901e-05,0.0,-4.008892686611901e-05,0.0007274997729090078,0.03333333333333333,0.9666666666666667,0.027258561866105823,0.6831025623386892
unbiased_predictions,linear_recalibration,30,0.01489198433256272,0.00036381781619306637,0.01864179426940654,0.01864179426940654,-0.00013295141687696626,1.0000051173897244,5.1173897244553386e-06,0.0045161177298886175,-4.013552794810138e-05,0.0,-4.013552794810138e-05,0.0007283391169149076,0.03333333333333333,0.9666666666666667,0.027258561866105823,0.6838876665972003
unbiased_predictions,umlr_oracle,30,0.014909878746518094,0.00036096726670582286,0.018666944177474373,0.018666944177474373,-0.00014566555814233577,1.0000037144247986,3.7144247985917054e-06,0.0035138143268603605,-4.069987240953117e-05,0.0,-4.069987240953117e-05,0.0007240570350631204,0.03333333333333333,0.9666666666666667,0.027258561866105823,0.6848103091119219
regression_to_mean,raw_lasso,30,8.517433904668778,0.2806453704689876,10.587030948525678,10.387936261987582,-0.08485661489640141,0.6366245849882121,-0.36337541501178794,-0.5927074911025709,1.1908736479789623,2.173696018594638,-0.9828223706156755,0.9839671586184833,0.8666666666666667,0.23333333333333334,10.587030948525678,1.0
regression_to_mean,residual_correction,30,6.8151795158579445,0.34652018818759994,8.518811419910698,8.210001417019328,-0.11521530179035502,1.014971672482105,0.01497167248210487,0.029591465579542384,1.190873647978962,2.173696018594638,-0.9828223706156759,0.9839671586184837,0.8666666666666667,0.23333333333333334,10.587030948525678,0.8046459353268448
regression_to_mean,linear_recalibration,30,8.51713448260523,0.2804947984686938,10.587808379374078,10.385272140767631,-0.08521287790370889,0.6380878863569954,-0.3619121136430046,-0.5902775142680313,1.1936055388871598,2.173696018594638,-0.9800904797074781,0.9815925238637154,0.8666666666666667,0.23333333333333334,10.587030948525678,1.000073432377045
regression_to_mean,umlr_oracle,30,10.978654572633788,0.6524422957718508,13.71607349794181,12.847874120308697,-0.18850957164997642,1.0231594187537227,0.023159418753722703,0.027210975443196884,1.9033588045578924,2.173696018594638,-0.2703372140367455,0.62768204313474,0.8666666666666667,0.9,10.587030948525678,1.295554302677454
range_shift,raw_lasso,30,9.389362502174949,0.8334223303894036,10.943764916778214,10.470409580855984,-8.906827351970087,0.6753418240067278,-0.3246581759932722,-0.5203758013236319,1.548959819168272,2.259245847004673,-0.7102860278364012,0.7102860278364012,1.0,0.1,10.943764916778214,1.0
range_shift,residual_correction,30,4.3637957871834665,0.22384283755104564,5.468182280544866,4.550667402653518,-0.2894055273962362,0.987662781948916,-0.012337218051084009,-0.024580551808215882,1.5489598191682723,2.259245847004673,-0.7102860278364009,0.710286027836401,1.0,0.1,10.943764916778214,0.49966189169153585
range_shift,linear_recalibration,30,9.346474289123961,0.8311978070961011,10.902784829798616,10.422996772609338,-8.853981392088384,0.6772525380507782,-0.3227474619492218,-0.5170814788429449,1.55334919136556,2.259245847004673,-0.7058966556391134,0.7058966556391134,1.0,0.1,10.943764916778214,0.9962553940722201
range_shift,umlr_oracle,30,6.388874672049045,0.37423837558263234,7.9999372726065285,6.238845174458592,-0.41376384716855763,0.9823368646011051,-0.017663135398894938,-0.025445518623286856,2.252677083805045,2.259245847004673,-0.006568763199628617,0.18994963209974275,1.0,1.0,10.943764916778214,0.7310041227531838
heteroscedastic_errors,raw_lasso,30,5.700791198073215,0.20161599340488184,7.194374280947271,5.8723283253748715,-0.020466364537725122,0.8313046625372422,-0.16869533746275772,-0.4080838466544685,1.7964641502769603,2.1923449711707037,-0.3958808208937434,0.3961915683407341,1.0,0.7,7.194374280947271,1.0
heteroscedastic_errors,residual_correction,30,5.176417783581687,0.22525769988989575,6.571485152987796,5.105259554748552,0.024271845824400385,0.992388776432753,-0.007611223567246916,-0.020365380543509903,1.7964641502769643,2.1923449711707037,-0.39588082089373927,0.39619156834072994,1.0,0.7,7.194374280947271,0.9134199718231145
